race,distance,climb,timeM,timeW
AnTeallach,10.6,1.062,74.68,89.72
ArrocharAlps,25,2.4,187.32,222.03
BaddinsgillRound,16.4,0.65,87.18,102.48
BeinnLee,10.2,0.26,41.58,52.52
BeinnRatha,12,0.24,47.75,58.78
BeinnResipol,12,0.845,68.2,81.38
BenGullipen,13.5,0.35,49.97,56.7
BenLedi,10,0.75,50.08,63.55
BenLomond,12,0.97,62.27,71.95
BenNevis,14,1.34,85.57,103.02
Bennachie,12.8,0.55,53.85,61.42
BenRinnes,22.4,1.5,113.78,138.2
BenVenue,12,0.86,71.53,86.35
Black,8.2,0.24,29.65,31.93
Cairnsmore,12.5,0.7,63.93,73.77
CairnTable,8,0.36,30.68,37.9
Carnethy,5,0.35,24.45,29.35
Chachnaben,14,0.75,62.72,78.83
CiochMhor,13,0.69,65.2,80.62
Cow,3.2,0.275,16.93,21.63
CraigDunain,9,0.27,39.23,45.76
CreagBeag,5,0.25,25.9,31.68
CreagDhubh,7,0.37,26.82,32.35
Criffel,11,0.55,47.57,56.78
CulterFell,17.5,1.49,103.17,119.27
Deuchary,18,0.8,73.73,96.03
DevilsBurdens,34,1.25,150.68,165.65
Dollar,15,0.96,71.88,84.02
DonardCommedagh,11,1,62.32,72.85
Durisdeer,16,1.2,81.88,94.72
EildonTwo,5.8,0.46,25.8,30.47
FeelTheBurns,21.4,0.8,87.87,103.5
FiveHillsOfFife,26,1.12,126.77,176.73
Fyrish,13,0.54,61.77,73.37
GlenClova,24,1.68,154.03,177.73
GlenRosa,20,1.67,138.33,162.28
Goatfell,13,0.88,72.18,86.35
GreatWilderness,38,0.92,163.65,193.35
Greenmantle,3.2,0.2,15.1,18.75
HalfNevis,10,0.67,47.65,61.85
HighlandFling,85,1.2,439.15,490.05
IsleOfJura,28,2.37,185.23,218.72
IsleOfMull,12.8,1.52,106.03,123.95
KnockCrieff,8,0.21,28.52,35.27
Knockfarrel,8,0.36,37.4,43.33
LairigGhru,43,0.64,178.17,212.63
LargoLaw,11,0.3,43.62,50.62
LochLochyMunros,21,1.325,126.48,166.27
LomondsofFife,16,0.75,82.17,107.92
MaddyMoss,10,0.76,47.65,53.17
ManorWater,16,0.7,67.58,73.8
MeallABhuachaille,13,0.72,60,74.2
Merrick,13.6,1,66.33,78.77
NorthBerwickLaw,4.5,0.185,17.88,20.4
Ochil,32.7,1.65,159.28,171.55
PentlandSkyline,26,1.89,135.87,162.48
RhenigidaleRace,12,0.84,67.37,86.58
RunOfTheMill,14.7,0.91,66.97,78.68
Scolty,7.2,0.4,31.5,37.63
SevensHillsEdinburgh,22.4,0.67,92.67,108.25
SliochHorseshoe,20,1,114.28,148.18
Snowdon,16,0.99,62.48,72.8
StucAChroin,22,1.5,126.33,160.72
TraprainLaw,9.7,0.19,37.43,41.22
TrotternishRidge,28,2,157.65,191.35
TwoBreweries,29,1.5,153.95,173.93
TwoInns,24,1.77,156.12,169.47
Yetholm,12.8,0.76,60.32,71.55
